decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-11-22T18:30:00Z,2021-11-22T18:30:00Z,2021-11-22T20:00:00Z,long,0,176,471.037099,470.1855055739789,471.8886924260211,471.84150355677855,target,141.57520199302235,1.76,139.81520199302236,0.9328448676385658,100139.81520199303
2022-06-22T17:30:00Z,2022-06-22T17:30:00Z,2022-06-22T19:30:00Z,long,0,63,377.117708,374.7609273556949,379.4744886443051,374.7234512629593,stop,-150.8381744335627,0.63,-151.4681744335627,-1.020144468196603,99988.34702755946
2022-09-29T15:30:00Z,2022-09-29T15:30:00Z,2022-09-29T15:45:00Z,short,1,331,362.75372100000004,363.80825521067425,361.69918678932584,363.8446360361953,stop,-361.0928769806343,3.31,-364.4028769806343,-1.0439822862564232,99623.94415057883
2022-11-07T15:30:00Z,2022-11-07T15:30:00Z,2022-11-07T19:15:00Z,short,2,332,376.832313,378.9277449040631,374.7368810959369,378.9656376785535,stop,-708.2637932797595,3.3200000000000003,-711.5837932797596,-1.0228558009437205,98912.36035729907
2022-12-12T15:45:00Z,2022-12-12T15:45:00Z,2022-12-12T18:00:00Z,long,3,998,394.689465,393.2041064281391,396.1748235718609,396.1352060895037,target,1442.8496073247054,9.98,1432.8696073247054,0.9665956198744491,100345.22996462378
2023-03-01T15:45:00Z,2023-03-01T15:45:00Z,2023-03-02T14:30:00Z,long,0,56,395.92958899999996,393.24939242847404,398.6097855715259,393.2100674892312,stop,-152.29320460304962,0.56,-152.85320460304962,-1.0184034782250075,100192.37676002074
2023-10-17T17:30:00Z,2023-10-17T17:30:00Z,2023-10-17T17:45:00Z,short,1,305,436.296366,437.44514149808435,435.1475905019156,435.1911052609658,target,337.1045254054246,3.0500000000000003,334.0545254054246,0.9534158248156974,100526.43128542617
2025-01-14T15:30:00Z,2025-01-14T15:30:00Z,2025-01-14T16:00:00Z,short,0,63,583.121682,585.5094375234589,580.733926476541,580.7919998691887,target,146.76997424111232,0.63,146.13997424111233,0.9714906354612703,100672.57125966728
2025-10-21T16:45:00Z,2025-10-21T16:45:00Z,2025-10-21T17:00:00Z,short,0,99,672.562737,674.0770268161315,671.0484471838685,671.1155520285869,target,143.2713121698963,0.99,142.2813121698963,0.9490818442434016,100814.85257183718
2025-11-12T18:00:00Z,2025-11-12T18:00:00Z,2025-11-13T14:30:00Z,long,0,60,683.708364,681.2013111735315,686.2154168264684,681.1331910424142,stop,-154.51037745514668,0.6,-155.11037745514668,-1.0311601456070507,100659.74219438204
2025-12-15T16:15:00Z,2025-12-15T16:15:00Z,2025-12-15T16:15:00Z,short,1,277,680.971896,682.24043296693,679.70335903307,682.3086570102267,stop,-370.2827998328024,2.77,-373.0527998328024,-1.0616647723605714,100286.68939454923
2026-02-12T15:30:00Z,2026-02-12T15:30:00Z,2026-02-12T15:30:00Z,short,2,367,693.0106920000001,694.922839359095,691.0985446409052,691.1676544953692,target,676.3947641995193,3.67,672.7247641995193,0.9586277416916802,100959.41415874875
2026-03-10T18:30:00Z,2026-03-10T18:30:00Z,2026-03-11T14:15:00Z,long,0,39,679.3879320000001,675.5859612299354,683.1899027700648,675.5184026338123,stop,-150.9116452813222,0.39,-151.30164528132218,-1.0203995771702672,100808.11251346744
2026-06-29T15:30:00Z,2026-06-29T15:30:00Z,2026-06-29T17:30:00Z,long,1,130,737.833776,735.1308344586504,740.5367175413495,740.4626638695954,target,341.75542304741157,1.3,340.45542304741156,0.9689028895119504,101148.56793651485
