decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-03-17T14:15:00Z,2021-03-17T14:15:00Z,long,161.98,161.1130229857817,161.1130229857817,187,demand,161.14,161.55,verified,4,4,2021-03-17T14:00:00Z,161.94,162.08,161.48,161.98,0.5395402843656752,2021-03-16T20:00:00Z,0.026977014218283763,0.17073170731711543,1.0,2.1145780834591212,162.17,162.36
2021-03-18T18:15:00Z,2021-03-18T18:15:00Z,long,162.62,162.25450677035892,162.25450677035892,199,demand,162.29,162.55,verified,2,3,2021-03-18T18:00:00Z,162.58,162.64,162.52,162.62,0.7098645928213007,2021-03-18T18:00:00Z,0.035493229641065036,0.11538461538461119,1.0,1.4057431909271614,162.24,162.58
2021-04-22T18:00:00Z,2021-04-22T18:00:00Z,long,166.95,166.62513156945752,166.62513156945752,233,demand,166.65,166.82,verified,2,3,2021-04-22T17:45:00Z,166.89,166.98,166.81,166.95,0.4973686108499012,2021-04-22T18:00:00Z,0.02486843054249506,0.058823529411715536,1.0,1.9109907678969997,166.9,166.95
2021-07-19T13:45:00Z,2021-07-19T13:45:00Z,short,169.44,169.6731774267748,169.6731774267748,310,supply,169.45,169.65,verified,3,5,2021-07-19T13:30:00Z,169.51,169.62,169.26,169.42,0.4635485354960013,2021-07-16T20:00:00Z,0.023177426774800065,,1.0,1.2658871338739517,169.68,169.4
2021-07-19T17:30:00Z,2021-07-19T17:30:00Z,long,169.3,168.90622547932853,168.90622547932853,311,demand,168.93,169.2,touched,3,3,2021-07-19T17:15:00Z,169.22,169.33,169.19,169.29,0.47549041342933546,2021-07-19T17:00:00Z,0.023774520671466775,0.037037037037005845,1.0,1.421387113598117,169.23,169.28
2021-08-05T17:15:00Z,2021-08-05T17:15:00Z,short,169.06,169.30578357942872,169.30578357942872,340,supply,169.1,169.28,verified,2,3,2021-08-05T17:00:00Z,169.09,169.11,168.99,169.07,0.5156715885743272,2021-08-05T17:00:00Z,0.02578357942871636,,1.0,1.3099087746039884,168.82,169.07
2021-08-05T18:15:00Z,2021-08-05T18:15:00Z,short,168.82,169.1549418951838,169.1549418951838,325,supply,168.89,169.13,verified,3,4,2021-08-05T18:00:00Z,168.89,168.89,168.78,168.81,0.498837903676161,2021-08-05T18:00:00Z,0.02494189518380805,,1.0,1.437257896599147,169.09,168.88
2021-09-03T18:30:00Z,2021-09-03T18:30:00Z,short,171.24,171.54332643356625,171.54332643356625,338,supply,171.28,171.52,rejected,3,3,2021-09-03T18:15:00Z,171.28,171.32,171.18,171.25,0.4665286713246898,2021-09-03T18:00:00Z,0.02332643356623449,,1.0,1.222193473192662,171.19,171.31
2021-10-11T15:00:00Z,2021-10-11T15:00:00Z,long,164.31,163.85383080541675,163.85383080541675,404,demand,163.88,164.1882273488323,rejected,3,3,2021-10-11T14:45:00Z,164.24,164.31,164.16,164.3,0.5233838916647439,2021-10-11T15:00:00Z,0.026169194583237194,0.09157963736585999,1.0,1.4475327912125286,164.34,164.3
2021-11-01T19:00:00Z,2021-11-01T19:00:00Z,short,167.56,167.94526296180575,167.94526296180575,423,supply,167.68,167.92,active,4,4,2021-11-01T18:45:00Z,167.65,167.69,167.54,167.56,0.5052592361151544,2021-11-01T19:00:00Z,0.025262961805757725,,1.0,1.6052623408574234,167.64,167.56
