decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-08-17T16:00:00Z,2021-08-17T16:00:00Z,2021-08-19T13:30:00Z,short,0,35,443.015694,447.1957918151902,438.8355961848098,438.87947974442824,target,144.76749894501154,0.35000000000000003,144.41749894501154,0.9871094979111157,100144.41749894501
2021-10-05T16:00:00Z,2021-10-05T16:00:00Z,2021-10-08T19:45:00Z,long,0,17,434.583454,426.23084144702915,442.9360665529709,437.78621699999997,weekend_close,54.44697099999911,0.17,54.27697099999911,0.38224722860685567,100198.69446994501
2022-04-05T17:00:00Z,2022-04-05T17:00:00Z,2022-04-06T13:30:00Z,short,0,33,453.50464500000004,457.9342006489884,449.0750893510117,449.11999685994675,target,144.69338862175846,0.33,144.36338862175845,0.9876042851052996,100343.05785856677
2022-04-21T18:00:00Z,2022-04-21T18:00:00Z,2022-04-22T14:15:00Z,short,0,17,441.685827,450.15270135484593,433.2189526451541,433.2622745404186,target,143.20039181288382,0.17,143.03039181288383,0.9937022928379712,100486.08825037965
2022-05-18T16:00:00Z,2022-05-18T16:00:00Z,2022-05-20T16:00:00Z,short,0,12,396.470349,408.7580588665437,384.1826391334563,384.22105739736963,target,146.99149923156438,0.12,146.87149923156437,0.9960596185587703,100632.95974961121
2022-06-07T14:30:00Z,2022-06-07T14:30:00Z,2022-06-09T19:00:00Z,short,0,27,411.328863,416.7759907321848,405.8817352678152,405.922323441342,target,145.97656808376706,0.27,145.70656808376705,0.9907128718080417,100778.66631769498
2022-07-06T14:30:00Z,2022-07-06T14:30:00Z,2022-07-08T19:45:00Z,long,0,15,382.208217,372.7317412535282,391.6846927464718,388.641132,weekend_close,96.49372500000055,0.15,96.34372500000055,0.6777746465917308,100875.01004269498
2022-10-13T18:00:00Z,2022-10-13T18:00:00Z,2022-10-14T19:45:00Z,long,0,8,365.55655199999995,347.89058020459026,383.22252379540964,357.644232,weekend_close,-63.298559999999725,0.08,-63.37855999999972,-0.4484508461662151,100811.63148269498
2022-12-15T15:30:00Z,2022-12-15T15:30:00Z,2022-12-16T20:45:00Z,short,0,10,391.100886,405.7330054233256,376.4687665766744,383.328329,weekend_close,77.72557000000006,0.1,77.62557000000007,0.5305148745318075,100889.25705269499
2022-12-29T17:00:00Z,2022-12-29T17:00:00Z,2022-12-30T20:45:00Z,long,0,19,383.928389,376.30693746506074,391.5498405349392,382.401756,weekend_close,-29.006027000000074,0.19,-29.196027000000075,-0.20161946749324233,100860.06102569499
2023-01-05T16:00:00Z,2023-01-05T16:00:00Z,2023-01-06T16:00:00Z,short,0,22,379.36206,386.05755693882736,372.6665630611726,386.09616269452124,stop,-148.1502592794676,0.22,-148.3702592794676,-1.007259469481946,100711.69076641552
2023-03-27T14:30:00Z,2023-03-27T14:30:00Z,2023-03-31T13:30:00Z,long,1,44,397.179714,389.26224277875104,405.09718522124894,405.0566755027268,target,346.58630611998046,0.44,346.14630611998047,0.9936204733669813,101057.83707253549
2023-08-28T14:30:00Z,2023-08-28T14:30:00Z,2023-08-30T14:00:00Z,long,0,18,443.214317,434.8650782281983,451.5635557718017,451.51839941622455,target,149.47348349204208,0.18,149.29348349204207,0.993393846183507,101207.13055602754
2023-10-18T15:00:00Z,2023-10-18T15:00:00Z,2023-10-19T18:45:00Z,short,0,26,432.526743,438.2584045217686,426.7950814782314,426.83776098637924,target,147.9135323541401,0.26,147.6535323541401,0.9908090336549417,101354.78408838168
2023-12-21T15:30:00Z,2023-12-21T15:30:00Z,2023-12-22T20:45:00Z,short,0,31,471.132882,476.0290216873758,466.2367423126242,473.667362,weekend_close,-78.56888000000095,0.31,-78.87888000000095,-0.5196910550899335,101275.90520838168
2024-01-08T17:00:00Z,2024-01-08T17:00:00Z,2024-01-10T18:00:00Z,long,0,33,470.92708799999997,466.3499426406001,475.50423335939985,475.4566829360639,target,149.47663289010922,0.33,149.1466328901092,0.9874265685668526,101425.0518412718
2024-02-13T15:30:00Z,2024-02-13T15:30:00Z,2024-02-16T20:45:00Z,short,0,17,494.85051,503.6124926386392,486.0885273613608,499.539949,weekend_close,-79.72046299999988,0.17,-79.89046299999988,-0.5363442492200423,101345.16137827179
2024-03-06T18:00:00Z,2024-03-06T18:00:00Z,2024-03-08T15:00:00Z,long,0,23,511.381133,504.81541946108695,517.946846538913,517.895051854259,target,149.82013364795773,0.23,149.59013364795774,0.9905882758533769,101494.75151191975
2024-03-12T15:00:00Z,2024-03-12T15:00:00Z,2024-03-15T16:45:00Z,long,0,20,515.981593,508.3815913081218,523.5815946918781,508.330753148991,stop,-153.01679702017964,0.2,-153.21679702017963,-1.008005019156224,101341.53471489956
2024-03-18T16:00:00Z,2024-03-18T16:00:00Z,2024-03-20T19:15:00Z,long,1,58,514.271422,508.2559700823859,520.2868739176142,520.2348452302225,target,345.8785473529035,0.58,345.29854735290354,0.989688440994759,101686.83326225246
2024-06-03T15:00:00Z,2024-06-03T15:00:00Z,2024-06-05T18:30:00Z,long,0,19,526.082603,518.2275395712953,533.9376664287046,533.8842726620617,target,148.2317235791728,0.19,148.0417235791728,0.9919295665505081,101834.87498583163
2024-08-01T17:00:00Z,2024-08-01T17:00:00Z,2024-08-02T14:00:00Z,short,0,13,543.6756270000001,555.0519933430694,532.2992606569308,532.3524905829964,target,147.2007734210473,0.13,147.0707734210473,0.9944419927981483,101981.94575925267
2024-08-28T17:00:00Z,2024-08-28T17:00:00Z,2024-08-29T14:30:00Z,short,0,41,558.504144,562.153216771793,554.855071228207,562.2094320934702,stop,-151.91681183228002,0.41000000000000003,-152.32681183228001,-1.0181457936901226,101829.6189474204
2024-10-21T16:00:00Z,2024-10-21T16:00:00Z,2024-10-23T15:00:00Z,short,1,110,582.2717670000001,585.4831186340639,579.0604153659363,579.1183214074729,target,346.87901517799105,1.1,345.779015177991,0.9788543737109555,102175.39796259839
2024-12-11T17:00:00Z,2024-12-11T17:00:00Z,2024-12-13T20:45:00Z,long,0,26,607.810775,602.0538105349192,613.5677394650809,604.199574,weekend_close,-93.89122600000132,0.26,-94.15122600000133,-0.6290122202359644,102081.24673659839
2024-12-16T17:00:00Z,2024-12-16T17:00:00Z,2024-12-18T19:00:00Z,long,0,35,607.020696,602.7336783453388,611.3077136546613,602.6734049775043,stop,-152.15518578734986,0.35000000000000003,-152.50518578734986,-1.016392133995084,101928.74155081104
