decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-03-17T15:15:00Z,2021-03-17T15:15:00Z,long,228.54,226.80832179943246,226.80832179943246,166,demand,226.89,227.74,verified,2,4,2021-03-17T15:00:00Z,227.88,228.66,227.57,228.56,1.633564011350376,2021-03-17T15:00:00Z,0.0816782005675188,0.20000000000001336,1.0,2.0607978830205798,228.6,227.87
2021-03-19T16:15:00Z,2021-03-19T16:15:00Z,short,227.82,229.11150974841655,229.11150974841655,164,supply,227.89,229.0,verified,2,4,2021-03-19T16:00:00Z,227.83,228.34,227.58,227.8,2.23019496833107,2021-03-19T16:00:00Z,0.1115097484165535,,1.0,1.1815403138887606,226.17,227.84
2021-04-06T14:45:00Z,2021-04-06T14:45:00Z,short,226.26,226.82209383787037,226.82209383787037,203,supply,226.35411017466097,226.75,active,2,2,2021-04-06T14:30:00Z,226.29,226.69,226.02,226.25,1.4418767574074853,2021-04-06T14:30:00Z,0.07209383787037427,,1.0,1.4450834582082237,225.01,226.23
2021-04-23T14:45:00Z,2021-04-23T14:45:00Z,short,224.8,226.09241761731383,226.09241761731383,220,supply,225.4,226.0,active,2,2,2021-04-23T14:30:00Z,225.11,225.54,224.76,224.8,1.8483523462767566,2021-04-23T14:30:00Z,0.09241761731383784,,1.0,2.1540293621897146,222.89,224.52
2021-04-23T15:15:00Z,2021-04-23T15:15:00Z,short,224.69,225.42010207322,225.42010207322,224,supply,225.04,225.33,active,2,2,2021-04-23T15:00:00Z,224.87,225.24,224.51,224.71,1.8020414643998446,2021-04-23T15:00:00Z,0.09010207321999224,,1.0,2.4486278386894327,224.52,224.86
2021-05-28T13:45:00Z,2021-05-28T13:45:00Z,short,226.27,227.63164006918583,227.63164006918583,233,supply,227.1,227.58,active,4,4,2021-05-28T13:30:00Z,227.08,227.18,226.14,226.27,1.0328013837163152,2021-05-27T20:00:00Z,0.05164006918581576,,1.0,2.836750144137027,226.21,225.68
2021-06-04T14:45:00Z,2021-06-04T14:45:00Z,short,226.61,227.2442165906099,227.2442165906099,260,supply,226.82,227.18,verified,3,3,2021-06-04T14:30:00Z,226.82,227.06,226.57,226.63,1.2843318121978844,2021-06-04T14:30:00Z,0.06421659060989422,,1.0,1.7061571961385846,227.49,227.09
2021-06-21T13:45:00Z,2021-06-21T13:45:00Z,short,223.84,224.7855064198203,224.7855064198203,236,supply,224.14,224.71,verified,4,4,2021-06-21T13:30:00Z,224.05,224.18,223.28,223.84,1.5101283964058663,2021-06-18T20:00:00Z,0.07550641982029332,,1.0,1.6587831926671384,221.37,221.93
2021-07-26T13:45:00Z,2021-07-26T13:45:00Z,short,219.89,222.58300015576205,222.58300015576205,293,supply,221.8,222.51578225521666,active,3,3,2021-07-26T13:30:00Z,220.4,222.05,219.79,219.88,1.3443580109076803,2021-07-23T20:00:00Z,0.06721790054538401,,1.0,3.7762883000556,219.17,219.49
2021-08-06T13:45:00Z,2021-08-06T13:45:00Z,short,223.44,224.613812650441,224.613812650441,313,supply,224.0,224.55,active,2,2,2021-08-06T13:30:00Z,223.75,225.21,223.21,223.44,1.2762530088198327,2021-08-05T20:00:00Z,0.06381265044099164,,1.0,2.13420481898358,221.65,222.11
2021-09-07T17:15:00Z,2021-09-07T17:15:00Z,short,227.14,227.60580496113937,227.60580496113937,343,supply,227.19,227.56,verified,3,3,2021-09-07T17:00:00Z,227.18,227.24,226.95,227.13,0.9160992227874161,2021-09-07T17:00:00Z,0.045804961139370805,,1.0,1.285959354430726,226.85,227.17
2021-09-20T14:00:00Z,2021-09-20T14:00:00Z,long,218.31,217.42836314644975,217.42836314644975,330,demand,217.49,218.04,verified,3,3,2021-09-20T13:45:00Z,218.08,218.99,218.03,218.31,1.232737071005266,2021-09-17T20:00:00Z,0.061636853550263306,0.018181818181802208,1.0,1.6029760973641365,221.28,222.2
2021-10-08T18:45:00Z,2021-10-08T18:45:00Z,short,222.49,223.28112426438136,223.28112426438136,351,supply,222.63,223.21604721405052,verified,3,3,2021-10-08T18:30:00Z,222.62,222.71,222.3,222.48,1.3015410066166715,2021-10-08T18:00:00Z,0.06507705033083358,,1.0,1.3669961142624012,222.34,222.11
2021-10-13T14:45:00Z,2021-10-13T14:45:00Z,long,221.56,220.1104335519628,220.1104335519628,367,demand,220.17,220.61,active,4,4,2021-10-13T14:30:00Z,220.7,221.59,220.57,221.56,1.1913289607437274,2021-10-13T14:30:00Z,0.05956644803718637,0.09090909090913202,1.0,3.2944692000843236,221.89,221.16
2021-12-28T15:15:00Z,2021-12-28T15:15:00Z,short,224.97,226.59907237199386,226.59907237199386,436,supply,225.68,226.54,active,2,2,2021-12-28T15:00:00Z,225.02,225.73,224.79,224.95,1.181447439877173,2021-12-27T21:00:00Z,0.059072371993858654,,1.0,1.91752601394639,223.41,224.18
2022-02-10T20:15:00Z,2022-02-10T20:15:00Z,long,204.22,202.6573150981989,202.6573150981989,484,demand,202.75017488345634,203.37,verified,2,3,2022-02-10T20:00:00Z,203.81,204.4,203.22,204.2,1.8571957051489267,2022-02-10T20:00:00Z,0.09285978525744634,0.2420037458895688,1.0,2.488903499754217,205.57,203.78
2022-02-18T15:45:00Z,2022-02-18T15:45:00Z,long,201.14,199.610466251556,199.610466251556,492,demand,199.69,200.71,touched,4,4,2022-02-18T15:30:00Z,201.15,201.2,200.66,201.16,1.5906749688799084,2022-02-18T15:30:00Z,0.07953374844399543,0.04901960784314791,1.0,1.5191507337686039,201.01,202.42
2022-03-08T18:30:00Z,2022-03-08T18:30:00Z,short,197.79,199.84960424023078,199.84960424023078,498,supply,199.22,199.75,active,3,3,2022-03-08T18:15:00Z,199.05,199.34,197.72,197.76,1.9920848046152735,2022-03-08T18:00:00Z,0.09960424023076368,,1.0,3.9426495098693954,195.74,198.37
